Date,Close
"January 3, 2024",42
"January 4, 2024",42.25
"January 5, 2024",41
"January 8, 2024",41.5
"January 9, 2024",42.25
"January 10, 2024",42.5
"January 11, 2024",41.5
"January 12, 2024",41.75
"January 15, 2024",41.75
"January 16, 2024",41.25
"January 17, 2024",41
"January 18, 2024",42.5
"January 19, 2024",43
"January 22, 2024",42.5
"January 23, 2024",42.5
"January 24, 2024",43.25
"January 25, 2024",44
"January 26, 2024",43.5
"January 29, 2024",42.75
"January 30, 2024",42.5
"January 31, 2024",43
"February 1, 2024",42.25
"February 2, 2024",42
"February 5, 2024",41.75
"February 6, 2024",42.25
"February 7, 2024",42
"February 8, 2024",41.5
"February 9, 2024",40.75
"February 12, 2024",41.5
"February 13, 2024",41.5
"February 14, 2024",41.25
"February 15, 2024",40.5
"February 16, 2024",40
"February 19, 2024",40.5
"February 20, 2024",40
