Date,Close
"January 3, 2024",219
"January 4, 2024",219
"January 5, 2024",214
"January 8, 2024",214
"January 9, 2024",217
"January 10, 2024",216
"January 11, 2024",217
"January 12, 2024",218
"January 15, 2024",217
"January 16, 2024",217
"January 17, 2024",213
"January 18, 2024",215
"January 19, 2024",218
"January 22, 2024",216
"January 23, 2024",215
"January 24, 2024",216
"January 25, 2024",218
"January 26, 2024",216
"January 29, 2024",218
"January 30, 2024",219
"January 31, 2024",219
"February 1, 2024",220
"February 2, 2024",221
"February 5, 2024",219
"February 6, 2024",218
"February 7, 2024",218
"February 8, 2024",214
"February 9, 2024",214
"February 12, 2024",215
"February 13, 2024",214
"February 14, 2024",213
"February 15, 2024",210
"February 16, 2024",213
"February 19, 2024",209
"February 20, 2024",207
