Date,Close
"January 3, 2024",22.4
"January 4, 2024",22.4
"January 5, 2024",22.6
"January 8, 2024",22.6
"January 9, 2024",21.5
"January 10, 2024",21.5
"January 11, 2024",21.8
"January 12, 2024",22.1
"January 15, 2024",22.1
"January 16, 2024",22
"January 17, 2024",21.6
"January 18, 2024",21.7
"January 19, 2024",21.6
"January 22, 2024",21.4
"January 23, 2024",21.2
"January 24, 2024",21.7
"January 25, 2024",21.6
"January 26, 2024",21.2
"January 29, 2024",21.5
"January 30, 2024",21.1
"January 31, 2024",20.8
"February 1, 2024",20.6
"February 2, 2024",21.1
"February 5, 2024",20.9
"February 6, 2024",21.2
"February 7, 2024",21.1
"February 8, 2024",20.8
"February 9, 2024",20.7
"February 12, 2024",20.5
"February 13, 2024",20.9
"February 14, 2024",20.7
"February 15, 2024",21.1
"February 16, 2024",21
"February 19, 2024",21.1
"February 20, 2024",20.7
