Date,Close
"January 3, 2024",1.66
"January 4, 2024",1.66
"January 5, 2024",1.67
"January 8, 2024",1.63
"January 9, 2024",1.66
"January 10, 2024",1.62
"January 11, 2024",1.62
"January 12, 2024",1.63
"January 15, 2024",1.63
"January 16, 2024",1.61
"January 17, 2024",1.59
"January 18, 2024",1.6
"January 19, 2024",1.69
"January 22, 2024",1.8
"January 23, 2024",1.79
"January 24, 2024",1.79
"January 25, 2024",1.8
"January 26, 2024",1.78
"January 29, 2024",1.77
"January 30, 2024",1.77
"January 31, 2024",1.79
"February 1, 2024",1.8
"February 2, 2024",1.79
"February 5, 2024",1.87
"February 6, 2024",1.85
"February 7, 2024",1.83
"February 8, 2024",1.81
"February 9, 2024",1.81
"February 12, 2024",1.84
"February 13, 2024",1.81
"February 14, 2024",1.81
"February 15, 2024",1.84
"February 16, 2024",1.87
"February 19, 2024",1.88
"February 20, 2024",1.88
