Date,Close
"January 3, 2024",29.25
"January 4, 2024",29.5
"January 5, 2024",29.25
"January 8, 2024",29
"January 9, 2024",28.25
"January 10, 2024",27.75
"January 11, 2024",27.5
"January 12, 2024",28.25
"January 15, 2024",28.25
"January 16, 2024",27.75
"January 17, 2024",27.75
"January 18, 2024",27
"January 19, 2024",27.5
"January 22, 2024",27.5
"January 23, 2024",27.75
"January 24, 2024",29
"January 25, 2024",29.5
"January 26, 2024",29.25
"January 29, 2024",30.25
"January 30, 2024",30.25
"January 31, 2024",30.5
"February 1, 2024",30.5
"February 2, 2024",30.75
"February 5, 2024",30.5
"February 6, 2024",30.75
"February 7, 2024",30.75
"February 8, 2024",31
"February 9, 2024",30.5
"February 12, 2024",30
"February 13, 2024",30.75
"February 14, 2024",30.75
"February 15, 2024",31.25
"February 16, 2024",31
"February 19, 2024",30.75
"February 20, 2024",31
