Date,SET,PTTEP.BK,TTB.BK,KTB.BK,MEGA.BK,CPALL.BK,CENTEL.BK,MINT.BK,ADVANC.BK,HANA.BK,OSP.BK,1AM-GEM,Portfolio
"October 1, 2019",-2.21%,-0.41%,-8.64%,-3.55%,-8.34%,-4.08%,-18.23%,-4.08%,4.01%,-10.24%,13.19%,0.92%,-4.04%
"November 1, 2019",-0.68%,-0.42%,10.54%,-1.21%,5.91%,-2.60%,0.91%,6.71%,-7.71%,20.33%,-3.59%,4.69%,2.89%
"December 1, 2019",-0.68%,3.68%,4.88%,0.00%,-15.96%,-5.06%,-10.44%,-6.71%,0.47%,9.89%,-1.23%,-1.25%,-2.05%
"January 1, 2020",-4.25%,0.00%,-17.52%,-1.85%,4.70%,-2.10%,-14.16%,-15.76%,-4.32%,2.15%,8.86%,7.35%,-4.00%
"February 1, 2020",-12.18%,-16.09%,-25.74%,-13.98%,-8.62%,-7.33%,-18.69%,-12.67%,-1.98%,-5.09%,-5.82%,-1.58%,-11.60%
"March 1, 2020",-17.45%,-45.13%,-21.40%,-20.54%,-11.88%,-7.50%,-15.60%,-49.28%,0.50%,-37.61%,-15.51%,-2.14%,-22.40%
"April 1, 2020",14.51%,22.46%,8.70%,-3.57%,26.72%,15.18%,33.83%,22.76%,-1.50%,23.18%,14.91%,-13.41%,16.27%
"May 1, 2020",3.12%,-0.59%,18.06%,-5.61%,16.64%,-0.71%,14.22%,-12.60%,-2.82%,3.39%,2.38%,6.39%,3.24%
"June 1, 2020",-0.28%,8.83%,-9.10%,-0.97%,8.40%,-3.98%,-7.94%,10.26%,-3.97%,-7.80%,-11.19%,2.50%,-1.75%
"July 1, 2020",-0.79%,-0.82%,-10.01%,-4.47%,-9.87%,0.74%,-2.64%,-10.92%,0.00%,26.72%,11.19%,5.09%,-0.01%
"August 1, 2020",-1.35%,-2.22%,-1.06%,-3.09%,11.20%,-7.21%,19.60%,20.76%,-1.09%,9.22%,-9.24%,8.60%,3.69%
"September 1, 2020",-5.78%,-11.92%,-5.47%,-7.61%,-8.28%,-5.25%,-19.15%,-11.33%,-6.78%,9.02%,-10.18%,3.17%,-7.70%
"October 1, 2020",-3.46%,-0.32%,-9.42%,-2.29%,0.00%,-11.42%,-13.29%,-18.03%,0.87%,3.39%,-8.96%,-0.29%,-5.95%
"November 1, 2020",16.43%,20.59%,25.95%,21.27%,4.23%,11.83%,20.99%,39.54%,1.72%,-5.13%,13.16%,0.64%,15.41%
"December 1, 2020",2.87%,1.54%,2.82%,3.67%,-1.39%,-3.79%,-2.50%,3.76%,0.28%,-7.28%,-2.78%,5.16%,-0.57%
"January 1, 2021",1.21%,5.21%,1.83%,3.54%,12.48%,-1.73%,4.13%,-3.76%,-2.30%,30.17%,0.70%,3.77%,5.03%
"February 1, 2021",2.01%,10.54%,2.69%,4.26%,-1.87%,3.85%,29.73%,19.87%,-3.85%,-6.73%,-2.84%,4.68%,5.56%
"March 1, 2021",5.87%,-0.87%,8.48%,1.65%,-14.89%,15.17%,9.33%,7.17%,4.72%,9.49%,1.43%,1.18%,4.17%
"April 1, 2021",-0.26%,4.29%,-5.00%,-7.66%,1.45%,-10.26%,-13.94%,-8.00%,-1.45%,0.45%,1.41%,0.19%,-3.87%
"May 1, 2021",0.66%,-0.42%,-4.37%,-3.60%,4.23%,-2.84%,4.62%,6.45%,-1.47%,8.21%,3.44%,-0.85%,1.42%
"June 1, 2021",-0.36%,-1.27%,0.00%,-1.85%,5.37%,-1.24%,-0.75%,-6.45%,1.47%,16.77%,2.01%,3.81%,1.40%
"July 1, 2021",-4.24%,-12.74%,-14.38%,-5.77%,3.85%,-1.68%,-14.66%,-0.84%,4.85%,6.78%,-6.85%,0.72%,-4.14%
"August 1, 2021",7.40%,7.93%,9.81%,10.34%,20.92%,9.69%,15.42%,9.61%,4.63%,-7.84%,3.48%,-2.28%,8.40%
"September 1, 2021",-2.04%,5.24%,3.67%,-1.80%,2.02%,-2.33%,2.96%,-3.89%,4.17%,11.38%,-7.10%,-0.65%,1.43%
"October 1, 2021",1.10%,0.00%,4.41%,4.45%,-7.26%,0.78%,4.98%,3.89%,-3.64%,1.26%,-3.75%,-0.37%,0.51%
"November 1, 2021",-3.43%,-3.46%,2.55%,-1.75%,13.08%,-8.99%,-15.76%,-18.38%,8.61%,15.59%,-2.32%,0.53%,-1.08%
"December 1, 2021",5.51%,3.89%,21.13%,15.54%,-4.83%,0.85%,1.61%,5.36%,11.02%,-5.50%,6.80%,-2.22%,5.59%
"January 1, 2022",-0.53%,9.30%,-7.78%,5.88%,-8.25%,6.16%,11.33%,5.91%,-4.45%,-24.17%,-6.02%,-1.34%,-1.21%
"February 1, 2022",2.18%,5.26%,0.73%,0.00%,-7.83%,8.03%,-1.44%,0.82%,4.01%,-30.95%,8.89%,-4.52%,-1.25%
"March 1, 2022",0.60%,5.35%,-3.72%,-1.44%,5.65%,-4.51%,15.42%,8.57%,1.73%,-4.51%,6.19%,-6.17%,2.87%
"April 1, 2022",-1.65%,4.75%,-1.53%,9.66%,7.41%,0.00%,14.43%,4.38%,-8.04%,-8.00%,-6.90%,0.37%,1.62%
"May 1, 2022",-0.24%,11.56%,-2.33%,-0.66%,5.94%,1.90%,-10.18%,0.00%,0.93%,4.35%,-0.72%,-5.18%,1.08%
