Date,Close
"September 1, 2019",-1.19
"October 1, 2019",-0.21
"November 1, 2019",4.58
"December 1, 2019",3.25
"January 1, 2020",9.28
"February 1, 2020",9.54
"March 1, 2020",6.5
"April 1, 2020",-6.33
"May 1, 2020",1.43
"June 1, 2020",2.37
"July 1, 2020",7.71
"August 1, 2020",16.91
"September 1, 2020",21.16
"October 1, 2020",20.81
"November 1, 2020",20.16
"December 1, 2020",28.03
"January 1, 2021",32.84
"February 1, 2021",39.32
"March 1, 2021",40.97
"April 1, 2021",41.24
"May 1, 2021",40.81
"June 1, 2021",45.49
"July 1, 2021",46.53
"August 1, 2021",41.36
"September 1, 2021",42.31
"October 1, 2021",41.78
"November 1, 2021",42.54
"December 1, 2021",39.42
"January 1, 2022",37.25
"February 1, 2022",31.49
"March 1, 2022",23.62
"April 1, 2022",24.07
"May 1, 2022",17.62
"June 1, 2022",16.35
"July 1, 2022",14.7
"August 1, 2022",15.88
"September 1, 2022",15.41
"October 1, 2022",8.27
"November 1, 2022",7.09
"December 1, 2022",9.46
"January 1, 2023",5.27
"February 1, 2023",8.84
"March 1, 2023",8.14
"April 1, 2023",5.99
"May 1, 2023",3.15
"June 1, 2023",2.67
"July 1, 2023",8.23
"August 1, 2023",9.41
"September 1, 2023",6.06
